4430	Mark Z. Jacobson		405
4983	Nicholas C. Bala		14475
5608	James Buchanan		9179
7848	Yun Zhou	周云	16923
11034	Peter A. Bath		15196
12885	Howard Gardner		2430
13571	Aldo De Moor		18573
14949	Supriya Singh		14641
15033	Stephen B. Seidman		16525
15198	Susan A. Brown		845
16324	Robert J. Myers		10065
17114	Martin S. Feldstein		427
17414	Bonnie H. Erickson		16371
18328	Bruce Weaver		11925
20300	David A. Wolfe		16371
20323	Alex Marsh		6745
21569	Steven Buechler		13173
22050	Jennifer J. Freyd		18222
22669	John O’Looney		16998
24513	Andreas Hess		16728
27669	Raymond M. Klein		6840
27979	Jere R. Behrman		18264
29694	James Randall Kahn		887
30362	Yves A. Lussier		16754
30707	Nora D. Volkow		351
31635	William P. Jones		10527
32772	Frank R. Lichtenberg		6375
33852	Jane Hunter		3146
33886	Paolo Buono		17433
34912	Jason Swarts		13155
39149	Alan J. Auerbach		566
39291	Leonard D. Brown		845
39596	Barry S. Fagin		18374
40282	John Fitzpatrick		3735
44528	Eric C. Rosen		3257
46029	Robert E. Horn		17249
46054	Andrew Rudd		487
48297	Mark Shephard		14697
48540	Peter A. Rogerson		929
48938	Casper Bruun Jensen		10941
49036	Victor A. F. Lamme		2426
49431	Stanley P. Covington		20655
49553	John E. Stewart		2867
49901	Peter Cappelli		18264
50419	Eva Brandt		7021
53344	Julian West		3136
54632	Geoff N. Mercer		4632
57033	William M. Evanco		7104
57968	Willem B. Verwey		18614
60440	Margaret L. McLaughlin		18400
60455	Bruce D. Smith		6840
60597	William J. Baumol		471
64358	Charles E. Lawrence		5465
65664	Duncan Rowland		13484
66384	Gareth Parry		10527
69504	Toomas Timpka		2969
70833	Barbara L. Wolfe		19084
70933	Gregory Mccarthy		814
71990	Jeremy Gow		3157
72050	Simon E. Dixon		14456
72311	Michael Beetz		16487
72640	J. Vernon Henderson		5465
75200	Nicolas Maille		1738
75700	Jody Hoffer Gittell		5426
76297	Colin Camerer		5630
80961	John L. Lewis		18598
81561	Jonathan Brodie Bendor		405
82077	U. Srinivasa Rangan		4988
84985	Bernardo Huberman		479
85040	Paul A. Rees		15894
86923	Paul Dupuis		5465
87351	Michael N. Geselowitz		14761
88087	Edward W. Y. Liu		19617
89036	Robert M. Kitchin		18673
89528	David Clark		568
89575	Andries E. Brouwer		2373
93546	Karen Littleton		13782
93598	Ian W. Ricketts		7144
93625	Craig J. Mundie		20355
95269	David S. Bates		17062
95629	Roger K. Moore		15196
96861	Paul Luff		3144
97487	Brian Wilson		377
102156	Shigeru Tanaka	田中繁	1237
102549	Julie A. Kmec		19285
103149	Mark B. Sandler		14456
104238	Peter D. Wagner		775
105110	Mark James Neal		7401
105620	Katherine Crawford		18161
106242	Thomas Suddendorf		18327
107337	Raghu Garud		14286
107908	Kirsten G. Meyer		17706
108764	Yvonna Lincoln		657
110367	Sumit R. Majumdar		16586
112099	Matthew R. James		4632
113437	Paul J. DiMaggio		14253
114238	Per H. Christensen		4117
116671	Barry Wellman		16371
117146	Christopher James Newell		18537
117443	Graham Smith		0
117850	David W. Harless		18706
118595	Marijtje A. J. van Duijn		14747
118746	Herbert Gintis		20345
119361	Barry A. T. Brown		9148
120126	Cathy Marshall		20355
120259	Judy Hutchings		5027
120903	Jennifer L. Davidson		10102
122589	Elizabeth F. Churchill		764
122969	Esperanza Marcos		18348
123929	John F. McCarthy		19321
124749	Juan Chen		3251
126068	Shrawan Kumar		17334
126680	John B. Taylor		405
126691	Jan Luiten van Zanden		2379
130268	David S. Evans		3157
130708	Gordon Slade		12439
130797	Richard L. Church		661
130864	John Mark Pullen		9179
131760	Pieter W. Adriaans		2426
132222	Barbara V. Howard		0
132256	Alan I. Penn		3157
132995	Chris Hall		5660
133423	Michele Jacobsen		16690
134353	Masaki Nakamura	中村正樹	11059
134811	Georges Dionne		9552
134899	David B. Cooper		5465
135454	James T. Enns		14919
136268	Hans Van Halteren		14738
137317	Jorg Sydow	Jörg Sydow	2135
138851	Samuel P. M. Choi		9751
139414	David Christopher Ribar		17337
140665	Geoffrey M. Underwood		13484
140766	Nolan H. Miller		687
141736	Russell Davidson		212
142080	David R. Howell		19513
142227	Philip J. Ryan		430
142670	Unto K. Laine		4104
142971	Gerard de Vries		1299
143053	Joseph G. Davis		18520
143837	Oliviero Stock		2331
146189	James G. March		405
146436	Roy Baumeister		487
146699	Mary K. Goldstein		7148
147180	David G. Cantor		16766
147433	Jack W. Davidson		9534
147737	Judee K. Burgoon		845
147804	L. D. R. Renneboog		18638
148614	James J. Thomas		461
149908	Antonio Piccinno		17433
152537	David Mackay		3120
152766	Helle Zinner Henriksen		5728
152877	Frank Harary		17233
