5577	Donald Rubin		446
5854	Cheryl Campanella Bracken		6629
5939	John A. Hardy		3157
9038	Gregor E. Kennedy		17684
11320	Claire R. McInerney		14761
13361	Peng Wang		13581
14001	JoAnne Yates		568
14272	Steve A. Schneider		15837
14946	Leslie Regan Shade		6400
14949	Supriya Singh		14641
15033	Stephen B. Seidman		16525
17797	Franck Ramus		1345
18108	Andrew R. Willis		17334
19093	Richard L. Meyer		13832
25643	Danyel Fisher		3251
31635	William P. Jones		10527
32631	Jian-gang Wang		5767
32789	Luuk Van Waes		0
34912	Jason Swarts		13155
34966	Chao Lu	吕超	14199
35805	Denis K. Burnham		18667
38280	Julie Weeds		15848
39942	Gustavo Alonso		3268
40258	Yong-Tae Park		6122
43879	Stuart Rosen		3157
47903	Elli Georgiadou		12470
55585	Hans van der Meij		18614
56142	Sylvia M. Chan-Olmsted		16955
58727	Elliot Soloway		17233
58910	Michael Devetsikiotis		13155
60440	Margaret L. McLaughlin		18400
60597	William J. Baumol		471
64670	Patrick van der Duin		16469
65664	Duncan Rowland		13484
73678	Luis Henrique Maciel Kosmalski Costa	Luís Henrique Maciel Kosmalski Costa	16977
76835	Kevin T. Kelly		964
79201	Sorin Adam Matei		14369
80772	Bart Verheij		14747
80961	John L. Lewis		18598
82301	Tracy Callaway Russo		1547
85043	Deborah L. Dunn		15138
87812	Anthony McEnery		11940
88087	Edward W. Y. Liu		19617
89528	David Clark		568
92121	Jeanine Warisse Turner		9095
92379	Karl L. Smart		6280
92936	Jorg Becker	Jörg Becker	17707
93300	Martin J. Warren		14199
93598	Ian W. Ricketts		7144
93888	Lawrence K. Cormack		18561
96019	John F. Duffy		737
96730	Claudio S. Pinhanez		20354
96861	Paul Luff		3144
97487	Brian Wilson		377
105620	Katherine Crawford		18161
111459	Patricia Riley		18400
111666	Yan Jiang		5566
113268	Robert J. Collins		6857
116671	Barry Wellman		16371
117287	Michael A. Arbib		18400
118842	Brian MacWhinney		964
120470	Jane Margolis		16766
124083	Eduard Hovy		18400
124762	Rae A. Earnshaw		5421
125495	Ulrike Klein		2153
126991	Mike Sharples		13484
127246	Luiz Fernando Gomes Soares		14352
129308	Johannes M. Bauer		16487
130289	Alan F. Newell		7144
130797	Richard L. Church		661
131846	Albert M. Selvin		13782
134510	Amy S. Bruckman		9014
137747	Robert M. Brady		16443
140324	Helen Nissenbaum		471
140766	Nolan H. Miller		687
140927	Cheryl Williamson Gray		12061
142746	David Grant		16586
146189	James G. March		405
147737	Judee K. Burgoon		845
148614	James J. Thomas		461
152557	Mark Newman		0
155456	Chris Scally		0
157338	Sharon Strover		18561
157440	Steve Jones		3907
157470	Bruce L. Lambert		3907
164468	Paolo Paolini		14167
165551	Ian Whalley		20354
174760	Panagiotis Papadimitriou		18187
177246	David Finkelhor		17403
178555	Rosaria Conte		13
183915	John C. Dixon		11548
186240	Alan Manning		3157
186444	Joyce Mcdonough		14665
187896	Nadia Magnenat-Thalmann		17592
189297	Eric W. Welch		3907
189298	Robert M. May		13881
193550	Ronald Harry Coase		0
198376	Nigel H. Collier		20670
199083	Walter W. Powell		405
199221	Alex S. Taylor		3251
200142	JAN C. WILLEMS		11803
200244	Leslie Haddon		12174
204578	George A. Barnett		16729
209317	James Clifford		18877
210767	Lina Khatib		14591
212448	Michael J. Fischer		19433
213424	Kathleen M. Carley		964
214574	Trevor C. Bailey		7913
215164	Andrea L. Kavanaugh		666
220111	Christopher A. Reed		7144
222816	Andrea Hoplight Tapia		18149
224394	Marshall Scott Poole		657
225067	William D. Lewis		20355
226885	Daniel Alexander Ford		410
230863	Willem E. Saris		7623
233835	Yves Punie		2763
234585	Lauren E. Brown		18561
237524	Bolanle A. Olaniran		16443
237712	Michael D. Ward		14034
238758	Ulrich Hoffrage		17632
239805	Apostolos V. Zarras		18202
241964	Robert A. Wilson		14456
242822	Janet Rountree		13843
244472	Carrie Heeter		10065
246078	Philippa Levy		15196
251834	Bradley R. A. Wilson		16671
254394	Leopoldina Fortunati		17907
254405	Linnda R. Caporael		14697
256613	Frank A. Biocca		10065
261446	Mark E. Nelson		687
267731	Mike Joy		18935
273078	John McCarthy		405
274387	Andrew Hill		12093
274426	Gary King		446
275592	Mark Hopkins		1381
277285	Alain Derycke		1692
277825	Geoffrey C. Bowker		737
278220	Martin Lea		12311
286047	Laura J. Gurak		17249
293906	Maite Taboada		15154
296111	Paula Tallal		14761
296939	Cindy E. Hmelo-Silver		14761
298458	Bernie Hogan		13881
299359	danah boyd		20355
303396	Danielle S. McNamara		12517
303815	John A. Bargh		19433
307875	Gerald Schneider		17629
311035	J. A. Campbell		5655
311069	Mary A. Flanagan		6857
311550	Matthew O. Jackson		405
314050	Ann Macintosh		12019
314608	John R. Steel		566
316943	Bill Kapralos		18203
318906	Richard M. Smith		7148
319831	Robert A. Walker		11451
320568	Kym Anderson		4236
323365	Ulric J. Gelinas		5192
323548	Jacqueline Bourdeau		16127
324373	Mark P. Jones		14595
325869	Mark E. Davis		5630
325889	B. Jack Copeland		5660
326664	Hui Liu		20535
329450	Wilbert Spooren		18877
329623	Erik P. Bucy		10565
331214	Leo G. M. Noordman		18638
332642	Chikashi Nobata		12311
336569	Geoff Coulson		11940
338030	Philippe Dessus		0
338779	John R. Crawford		4133
339229	Fay Sudweeks		12974
341146	Robert E. Kraut		964
343663	Bruce F. Pennington		3445
350620	Clay Spinuzzi		18561
351079	Robert W. Kubey		14761
356002	John J. McCarthy		20345
361822	Nada Matta		18606
363407	Susan C. Herring		10565
364384	Lee-feng Chien	簡立峰	1392
364849	Robert B. Cialdini		4076
365133	Mark S. Ackerman		17233
369048	Anabel Quan-Haase		5440
369446	John Campbell		446
370167	Christian Sandvig		687
372865	Regina Jucks		17707
374481	James G. Anderson		446
376078	Ling-Feng Wang		18586
376673	Wolfgang Scholl		9979
376836	Michael David Myers		4888
382103	Bart G. De Boer		2426
383778	Ping Sheng	沈平	18489
383987	Wilson P. Dizard		0
386032	Walfredo Cirne		3276
387626	Efrem Castelnuovo		17753
393082	Stephen J. Cox		16881
396486	Annette Karmiloff-Smith		0
396831	James C. Bezdek		17684
396963	Lorenzo Cantoni		17835
398266	Alan J. Perlis		19433
399359	Shirley Alexander		18598
400006	John M. Dennis		407
401434	Kathy K. Franklin		0
403851	John Clarke		566
405476	Seunghee Lee	이승희	15511
408246	Kyo Kageura		1311
408496	Robyn Benson		12781
411029	Jeremy N. Bailenson		405
414940	Lydia Plowman		7919
415789	Chuen-tsai Sun	孫春在	13160
417152	Bob Remington		3146
420310	Dilma M. da Silva		18470
420594	Joo-Young Lee		11899
420611	Pamela Enderby		15196
427479	Teun A. van Dijk		18270
427900	Daniel J. Ryan Jr.		13557
429334	J. Richard Shanebrook		16793
429703	Marie-France Ehrlich		15848
432205	Simon Parsons		5775
433597	John D. Jackson		12093
437534	Robin Mansell		12174
438424	Franco Callegati		17455
438467	Edmundo Roberto Mauro Madeira		17481
440741	Steinar Kristoffersen		9712
440802	Richard J. Beach		458
443929	Monika Schnitzer		17706
444423	Gregg C. Vanderheiden		19084
446418	H. Jaap Van Den Herik		0
447592	Gabor Fodor	Gábor Fodor	3753
450448	Joost Breuker		2426
451267	Guo-qiang Zhang		20535
455820	Linda Klebe Trevino		14286
456808	Thomas Lancaster		5139
461204	Christine L. Borgman		16766
464501	Melvin Neville		831
467851	Henry Jenkins		568
473272	David N. Morley		420
479262	Ina Wagner		16513
482279	David B. Skillicorn		14475
483370	Naomi S. Baron		9277
486016	Wendy Hall		3146
486994	Johanna Moore		7306
489995	Fintan Culwin		12170
490113	Paul M. Ruth		20526
492224	Martin Emmer		0
499103	Ellen J. Langer		446
506332	Teresa Moore		13484
508516	DAVID D. NICHOLAS		3157
508958	Pierre Dillenbourg		7588
509065	Ananda Mitra		19157
514296	M. Charles Liberman		446
517793	Robert L. Wears		16955
519372	Brenda Danet		9991
519754	Stanley Wasserman		687
522721	Dan Schiller		687
522969	Peter W. Jusczyk		11120
526000	Michael Tomasello		1963
526061	John C. Murphy		0
527810	Ramamurti Shankar		10447
530008	Christian Heath		3144
536095	Mike Thelwall		19117
536206	William A. Gray		6375
541196	Michael Franz		16759
541839	Eliane Segers		14738
544721	Linda M. Harasim		15154
545646	Chien-sing Lee		12746
549188	Ralph Schroeder		13881
554921	Noriko Tomuro		6927
559010	Maria Virvou		17758
559220	Bjorn Lindblom	Björn Lindblom	2747
561596	Robert B. Allen		7104
562791	Suresh K. Bhavnani		17233
569149	Kirk Martinez		3146
571313	Colin G. Johnson		11450
572589	Rob Kling		6368
573159	Bruno Bachimont		1835
577079	Maribeth Gandy		9014
577958	Charles M. Ess		4867
579481	Marvin J. Croy		17334
583823	Todd Heatherton		6857
585284	Philip N. Howard		18939
586784	John Robinson		17062
591959	Daniel Sperber		14697
594626	David Silver		964
595261	Wes Sharrock		12311
601448	Norman Alm		7144
603605	Gerardo Sierra		20381
609339	Gary Bente		17627
612745	Patrick J. Dillon		20640
613094	Roel Wieringa		18614
613398	Dennis T. Lowry		15350
615887	Anthony G. Greenwald		18939
617442	Christine J. Urquhart		4135
620243	R. Harald Baayen		16586
622628	Arthur Schram		2426
631486	Naomi Rosh White		12781
633461	Martin Corley		7306
634195	Patrick Doreian		737
635455	Catherine A. Middleton		14773
635829	Greg J. Duncan		16759
636084	Judith Felson Duchan		15805
639103	Stuart Moulthrop		16637
642369	James A. Hendler	Jim	14697
643372	Linton C. Freeman		16759
652393	Sophia Ananiadou		12311
657033	Paul Ward		9225
658551	James A. Danowski		3907
658959	Uwe Reyle		17864
666105	Keith N. Hampton		18264
667064	Andy Mckinlay		7306
679220	L. J. Shrum		18600
680664	Steven N. Evans		566
684669	Jonathan D. G. Jones		3126
687612	Mark Armstrong		3157
690426	Charles I. Jones		405
690629	Thomas Sobirk Petersen	Thomas Søbirk Petersen	11778
691872	Mark Aakhus		14761
692778	Panos Vassiliadis		18202
692834	Starr Roxanne Hiltz		13361
693669	Yrjo Engestrom	Yrjö Engeström	1599
698784	Curtis Jay Bonk		10565
701868	John C. Pierce		19285
704665	Caroline Haythornthwaite		14919
704715	William P. Hall		17684
712192	Michael J. Rovine		14286
716985	Lee W. McKnight		15979
717788	Frans Coenen		12093
718485	H. Peter Boswijk		2426
719178	Andy Williamson		12781
720132	John L. Pollock		845
720584	Richard Young		5453
721112	Robert Rosenberger		15818
722301	Arthur C. Graesser		12517
722791	Christopher S. Wilson		5297
723793	Raouf Boutaba		9225
723866	Stephen M. Barnett		15750
728164	Lee Sproull		471
730118	Paul Ekman		20554
730138	Andrew R. Golding		675
732439	Yvonne Rogers		13782
735397	Hee Sun Park	박희순	6309
739952	Matthew Richardson		20355
740514	Monica Divitini		13557
742701	Peter Mcburney		12093
743468	B. K. L. Genova		15979
743780	Ted J. M. Sanders		2942
750180	Brian Kelly		20514
751557	John Freeman Jr		17249
757952	Siobhán Clarke		16063
762392	James E. Katz		14761
762757	Jeffrey Boase		14773
764160	Burkart Holzner		737
764176	Ellen F. Prince		18264
766634	Terrence A. Brooks		18939
769148	Jenna Burrell		566
780890	Fidelia Ibekwe-Sanjuan		18013
781094	Robert W. Zmud		13856
781394	Bram Bakker		2426
782458	Huaiyin Li		18561
796950	John Edward Drury		16101
800245	William H. Dutton		13881
800508	Raymond W. Gibbs Jr.		16811
801907	Laurel Smith-Doerr		5533
802631	Michael W. Traugott		17233
807443	Roger Slack		13484
810311	Daphne Ruth Raban		9382
820073	Bruno Dubois		1734
823315	Lynne Bell		15154
829720	Ewart R. Carson		6201
842056	Richard P. Martin		1066
847155	Radboud Winkels		2426
847218	Xue-Feng Zhang		3939
849049	Shaun P. Slattery		6927
851223	Christine M. Neuwirth		964
862041	Vladimir Slamecka		0
863847	Jay P. Kesan		687
867484	Penny Stribling		14675
870773	Chris Werry		11036
871805	Aslan Zorlu		2426
873720	Ali Dasdan		23012
875112	Willem L. Vos		18614
876443	Vincent E. Price		18264
881169	Michael H. Riordan		6375
881363	Donald T. Campbell		17062
890663	Piet J. M. Bakker		2426
891880	Yueh-min Huang	黃悅民	13140
895849	Bo Feng		212
897620	Carl Bereiter		16371
901357	John M. Griffith		13710
903657	Jonathan R. H. Tudge		17337
904192	Byron Reeves		405
907373	Linda J. Skitka		3907
907491	Marcelo Dascal		16045
908262	Yishai Tobin		16045
912955	Linda A. Macaulay		12311
920428	James Dowdall		15848
920644	Karen Sparck Jones	Karen I. B. Spärck Jones	3120
922698	Punyashloke Mishra		10065
922866	Tony Fountain		775
923723	Katherine W. Mccain		7104
924880	Bing Xue		20535
925547	Barry Ip		15301
927088	Teena A. M. Carnegie		7911
927985	Jay David Bolter		9014
929633	Joep Sonnemans		2426
934245	James D. Adams		14697
938715	Mark D. Wheeler		12135
944052	Andrew C. Beall		661
945023	Berend Smit		2426
948083	Kenneth Johnson		10102
949212	Judith Segal		13782
951737	Charles Anderson		7306
953228	Lawrence R. Wheeless		552
953719	Dirk Geeraerts		11803
959086	Carl J. Couch		0
962879	Geri K. Gay		581
963207	J. Andrew McDonald		3200
963417	George Lakoff		566
965700	Peter K. Willett		14034
966009	L. Jean Camp		10565
967786	James H. Abbs		19084
971595	Janine Swaak		2400
982385	Jan H. Spyridakis		18187
987871	Mark Fey		14665
988526	Philip Rubens		7300
991845	Jack Gandour		14369
992110	Constance J Newman		3002
992487	Cheryl Geisler		17596
995285	Samer M. Madanat		566
997601	Russell Spears		6030
999152	Phoebe Sengers		581
1003162	Peter G. Taylor		16728
1005271	Eric Mazur		446
1008104	Mounia Lalmas		764
1010704	Ian O’Donnell		16728
1012733	Raquel Fernandez	Raquel Fernández	471
1018703	Paul Comisky		14761
1022699	Simon Buckingham Shum		13782
1023383	Evgenia Smirni		19118
1028203	Jonathan Furner		16766
1030343	Ronald E. Rice		14761
1032783	K. Jones		0
1033672	Dejan S. Milojicic		479
1035492	Magdy M. A. Salama		9225
1038732	Brigitte Denis		17138
1039555	Varol Akman		5297
1041576	Kirsten A. Foot		18939
1051277	Abby A. Goodrum		19115
1051323	Paolo Giorgini		3788
1056730	Sang-Woo Lee		16523
1056798	Sasha Alexander Barab		4076
1060676	J. A. Davis		446
1065530	Vinton Gray Cerf		973
1069979	Paul Grace		11940
1070170	Friedrich W. Hesse		2165
1070655	Marcus H. Miller		18935
1072142	Rolf T. Wigand		16588
1075748	Eric Laurier		7306
1082337	Michael Scott Marshall		9014
1083862	Serge Garlatti		10633
1088457	Jaap C. Hage		20800
1095399	Kathy Keeling		12311
1096248	Ronald Leenes		18638
1097198	Andrew N. Meltzoff		18939
1098122	Christina Haas		17249
1104177	Janet Metcalfe		6375
1106641	Georgios T. Karagiannis		18614
1111442	David Robert Kirsh		775
1113964	Ian Williamson		17684
1125091	Andrew R. Brown		12311
1125255	Arie W. Kruglanski		710
1126374	Simon Baron-Cohen		3120
1129557	Stephen T. Jackson		13843
1133547	Lisa Figueroa		0
1133702	Sebastien George	Sébastien George	23013
1133815	Barry O'sullivan		16718
1141934	D. Jeffery Higginbotham		0
1144627	Jennifer L. Smith		7300
1149528	Richard J. S. Wise		10527
1150725	Jem J. Rowland		4135
1155795	Peter A. Lindsay		3144
1155889	Michael C. Loui		687
1174059	Timothy Schallert		18561
1176173	James Coyle		10102
1177659	Rajiv C. Shah		420
1178858	Thomas Wiegand		2012
1183423	Peter Dahlgren		12203
1188053	Deb Kumar Roy		6840
1188615	Ann Hill Duin		17249
1192925	David Lazer		13235
1195687	Caroline Pelletier		10672
1201264	Uta Frith		3157
1204614	Ricardo B. Duque		17999
1208961	James W. Pennebaker		18561
1210930	Kathleen F. McCoy		4076
1214175	Toni Robertson		18598
1215764	Akebo Yamakami		17481
1215956	Jerome P. Reiter		814
1216860	Charles R. Mcclure		487
1224577	Brenda Dervin		13832
1236900	Dennis M. Nicholson		15750
1242840	Tim Pring		6201
1246402	William D. Hopkins		4301
1248698	James S. Duncan		19433
1259954	Gordon Blair		11940
1260950	Sue Davis Pendell		6368
1268197	Kwangsu Cho		15397
1278076	Lynne Bowker		18226
1278758	Peter M. Kelly		17155
1279533	Jeffrey R. Brown		687
1281160	Donald A. Schon		0
1282581	Rosanna E. Guadagno		16543
1290964	Sim B. Sitkin		814
1294055	Michael J. Todd		20345
1295098	Roel M. W. J. Beetsma		2426
1299028	Donna K. Ginther		1547
1302636	Andrew Feenberg		15154
1306821	Kevin J. Dooley		4076
1310873	Lynn Christine Miller		18400
1315639	David W. Shipman		566
1319695	Bruce Bimber		661
1321555	Mahadev Satyanarayanan		964
1324409	Nancy Walters Coppola		2011
1330597	Laurence M. Ball		11120
1332539	Patrice L. Tamar Weiss		9382
1335244	Paul M. Leonardi		13470
1335756	Pierre G. Jansen		18614
1337971	Kim Kowarsky		0
1341926	Ephraim Nissan		9191
1343143	Yde Venema		2426
1344169	Peter W. Callas		18633
1357517	Linda J. Lombardino		16955
1359205	Margaret WETHERELL		13782
1363852	Peter D. Killworth		3146
1364029	Otto Carlos Muniz Bandeira Duarte		1622
1373299	Joost Zwarts		2942
1373865	Linda S. Flower		964
1375891	Wim J. L. Elving		2426
1381689	Kwan Min Lee		9014
1381960	Ian Rogers		12311
1386122	K. Richard Ridderinkhof		2426
1394958	Rob P. J. M. Raven		4012
1397850	Alladi Venkatesh		16759
1399063	Philip Bell		12093
1399244	Susan Bull		5253
1404842	Symeon Papavassiliou		13566
1405710	Lily B. Mummert		964
1405845	Ann Peterson Bishop		687
1405886	James N. Danziger		16759
1407689	Jonathan Eaton		14286
1421923	David Shinar		5245
1424982	Ray Bull		12007
1430624	Jun'ichi Tsujii	辻井潤一	20355
1432779	Nathalie E. Richard		1847
1433786	Loet Leydesdorff		2426
1438197	Stefano Stramigioli		18614
1439382	Ronald T. Kellogg		15427
1439640	Eva-Maria Jacobsson		11778
1439901	Philip M. Mccarthy		13589
1440125	Jean-marie Le Goff		17632
1440724	Fabio Kon		18470
1441404	James Banks		1510
1443621	Andy D. Pimentel		2426
1449646	Doug Arnold		7791
1454333	John Seely Brown		0
1457657	Nicolas Ducheneaut		550
1458411	Eleanor R. Flavell		405
1458974	Michael S. Parkin		13685
1459106	Els den Os		1963
1471910	Yan Quan Liu		18327
1480663	Raghu Ramakrishnan		20355
1484328	Michela Bertolotto		0
1491144	Stephen M. Stack		18947
1493033	Nikolaos Georgantas		1617
1493371	Christian Christensen		13388
1495300	Henkjan Honing		2426
1496400	David B. Wake		566
1507344	Kathleen Ahrens		9751
1517897	Keith R. Sanders		15350
1519468	Ronald E. Anderson		198
1521196	Chang-Ho Lee	이창호	0
1527251	John M. Budd		12689
1531650	V. Michael Bove Jr.		568
1536895	Russell H. Taylor		11120
1537710	Deborah G. Johnson		18675
1540339	Jonas Barklund		2943
1541971	James A. Young		7919
1544915	Eric N. Wiebe		13155
1553442	Marlene Scardamalia		16371
1557671	Christopher J. Lee		16766
1557881	George Kurian		568
1561670	Larry R. Smeltzer		4076
1563859	Ronald H. Stevens		16766
1566100	Steven A. McCornack		10065
1568902	Anne L. Drazek		0
