5733	9	Games Characterizing Levy-Longo Trees
9420	9	Universal Inherence of Cycle-Free Context-Free Ambiguity Functions
10132	9	The Many Faces of a Translation
10296	9	Anycasting in Adversarial Systems: Routing and Admission Control
10710	9	Minimal Classical Logic and Control Operators
11579	9	Exponential Lower Bound for Static Semi-algebraic Proofs
13207	9	Fractional Path Coloring with Applications to WDM Networks
18630	9	Perfect Constant-Round Secure Computation via Perfect Randomizing Polynomials
27872	9	Minimal Tail-Biting Trellises for Certain Cyclic Block Codes Are Easy to Construct
27976	9	Oracle Circuits for Branching-Time Model Checking
28515	9	Simple Linear Work Suffix Array Construction
34565	9	Resource Access and Mobility Control with Dynamic Privileges Acquisition
34834	9	Fixed-Parameter Algorithms for the (k, r)-Center in Planar Graphs and Map Graphs
35368	9	Energy Optimal Routing in Radio Networks Using Geometric Data Structures
47102	9	Deciding DPDA Equivalence Is Primitive Recursive
48110	9	Foundations for Circular Compositional Reasoning
48659	9	Local and Global Methods in Data Mining: Basic Techniques and Open Problems
57882	9	Innite-State High-Level MSCs: Model-Checking and Realizability (Extended abstract)
66285	9	Randomized Pursuit-Evasion in Graphs
66975	9	Random Sampling from Boltzmann Principles
70407	9	A Total Approach to Partial Algebraic Specification
77483	9	Online Packet Routing on Linear Arrays and Rings
77550	9	Improved Algorithms for Finding Level Ancestors in Dynamic Trees
77649	9	Approximating the Independence Number and the Chromatic Number in Expected Polynominal Time
80777	9	A Faster All-Pairs Shortest Path Algorithm for Real-Weighted Sparse Graphs
86102	9	Secure Multiparty Computation of Approximations
90246	9	Finite-State Dimension
91578	9	The Complexity of Computing the Size of an Interval
94450	9	Majority Consensus and the Local Majority Rule
95956	9	The Buffer Minimization Problem for Multiprocessor Scheduling with Conflicts
103121	9	Languages, Rewriting Systems, and Verification of Infinite-State Systems
104070	9	Testing Hypergraph Coloring
104914	9	Fair Simulation Relations, Parity Games, and State Space Reduction for Büchi Automata
106771	9	Hardness of Set Cover with Intersection 1
109496	9	Decidable Properties of Graphs of All-Optical Networks
109781	9	Theoretical Aspects of Evolutionary Algorithms
110732	9	Non Interference for the Analysis of Cryptographic Protocols
112492	9	From Finite State Communication Protocols to High-Level Message Sequence Charts
112618	9	Scalable Secure Storage when Half the System Is Faulty
